teamAbbreviation,college,mascot,
LOU,Louisville,Cardinals,
ALST,Alabama State,Hornets,
BC,Boston College,Eagles,
CIN,Cincinnati,Bearcats,
CLEM,Clemson,Tigers,
DUK,Duke,Blue Devils,
EKU,Eastern Kentucky,Colonels,
EMU,Eastern Michigan,EMU,
FLA,Florida,Gators,
FSU,Florida State,Seminoles,
IFW,Indiana U.-Purdue U.-FW,Mastadons,
INST,Indiana State,Sycamores,
IU,Indiana,Hoosiers,
KENT,Kent State,Golden Flashes,
BALL,Ball State,Cardinals,
CIT,The Citadel,Bulldogs,
GT,Georgia Tech,Yellow Jackets,
MASON,George Mason,Patriots,
NCST,NC State,Wolfpack,
ND,Notre Dame,Fighting Irish,
OKLA,Oklahoma,Sooners,
PITT,Pittsburgh,Panthers,
TTU,Texas Tech,Red Raiders,
UK,Kentucky,Wildcats,
UVA,Virginia,Cavaliers,
VT,Virginia Tech,Hokies,
WF,Wake Forest,Demon Deacons,
WKU,Western Kentucky,Hilltoppers,
MIAOH,Miami (OH),Red Hawks,
MOR,Morehead State,Eagles,
NKU,Northern Kentucky,Norse,
OMAHA,Nebraska at Omaha,Mavericks,
PUR,Purdue,Boilermakers,
RAD,Radford,Highlanders,
RICH,Richmond,Spiders,
TAMU,Texas A&M,Aggies,
TCU,Texas Christian,Horned Frogs,
TOL,Toledo,Rockets,
UMD,Maryland,Terrapins
UNC,North Carolina,Tarheels,
VAN,Vanderbilt,Commadores,
WCU,Western Carolina,Catamounts,
WRST,Wright State,Raiders,
XU,Xavier,Musketeers,
YSU,Youngstown State,Penguins,
JMU,James Madison,Duke,
BRWN,Brown,Bears,
OLE,Ole Miss,Rebels,
AAM,Alabama A&M,Bulldogs,
UCONN,Connecticut,Huskies,
